ID,Binomial,Long,Lat,Aspect,curvature,Driver,Droad,elevation,NDSI,NDVI,rainfall,slope,TWI
171,0,113293.8054,-253511.1032,69.1455,1,154.512,0.097073,1750,0.171053,0.668442,1247,10.3039,0
172,1,227385.1171,-253572.9078,59.0362,0,677.74,0.042435,1355,0.458112,0.395909,1015,6.72589,6.51112
173,1,92620.1631,-255550.6554,226.909,-0.555556,1214.27,0.036694,2407,-0.00976,0.672753,1486,9.74326,5.67045
174,1,107947.7066,-255890.5807,132.917,0.555556,309.023,0.141199,1754,0.317671,0.458895,1321,17.4759,0
175,1,233194.7505,-255952.3854,136.219,0.555556,1311.44,0.042227,1478,0.486674,0.364387,1003,15.0521,5.23537
176,1,142743.7025,-255983.2877,56.7683,-0.111111,705.358,0.018376,1702,0.306422,0.716174,1058,7.98309,0
177,0,126581.7968,-256199.6038,292.81,-0.333333,765.105,0.026991,1571,0.215721,0.761502,1157,25.1517,6.3702
178,1,104950.183,-256230.5061,120.7,-0.222222,2240.36,0.1217,1882,0.262411,0.647802,1361,16.7557,4.90495
179,1,167929.0814,-256508.6269,91.9749,-0.222222,5407.9,0.025468,1394,0.422205,0.343883,1026,6.69445,5.12951
180,1,110605.3049,-256972.1614,32.4712,-0.111111,0,0.136001,1756,0.236908,0.703636,1313,11.9125,13.1641
181,1,96143.02592,-257621.1099,45,-0.555556,729.321,0.068838,2518,0.17357,0.845307,1458,11.9508,3.85674
182,1,170308.559,-257713.8168,189.246,0.111111,7846.08,0.022458,1491,0.419355,0.430239,1017,9.99433,4.72871
183,1,66075.08273,-258270.0583,-1,0,2259.25,0.012294,1461,-0.750446,-0.076682,1347,0,0
184,1,206062.5263,-258362.7652,329.036,0,30.902,0.071229,1326,-0.044809,0.323815,1024,1.35114,0
185,1,90147.97866,-258455.4721,6.1466,0.333333,634.062,0.056253,2378,-0.272727,0.727772,1483,14.8125,6.63772
186,1,63602.8983,-258548.179,-1,0,4351.08,0.01174,1461,-0.778182,-0.122977,1340,0,0
187,1,59369.28246,-258579.0813,119.578,-0.222222,2490.85,0.043413,1556,0.198352,0.534822,1322,9.76445,0
188,1,57855.06949,-258733.5928,40.8404,0.444444,3043.68,0.056016,1558,0.183742,0.482439,1316,17.5083,3.47469
189,1,112274.0294,-259320.7367,139.6,0.111111,1793.93,0.126894,2047,0.212935,0.414602,1313,26.5326,3.05858
190,0,152138.0034,-259784.2712,62.9279,-0.555556,1752.74,0.01694,1535,0.419124,0.415792,1078,11.5534,6.52963
191,1,55104.76431,-259907.8805,-1,0,3627.3,0.079097,1461,-0.79206,-0.133094,1318,0,0
192,1,110419.891,-260031.4897,30.4258,-0.555556,1052.49,0.138747,2211,0.210356,0.766841,1358,30.586,5.62422
193,0,104579.3553,-260155.0989,92.7263,0.888889,1274.13,0.139863,2094,0.363903,0.448224,1396,9.65265,4.07036
194,0,104393.9415,-260989.4611,215.166,0.222222,927.069,0.143664,2073,0.260948,0.595005,1401,23.53,3.17883
195,1,87459.47809,-261113.0704,307.504,0.444444,207.299,0.076164,2353,0.137566,0.766506,1488,12.3666,0
196,1,98584.30805,-261422.0934,34.2157,0.777778,765.105,0.10958,2381,0.004673,0.846504,1463,13.7436,0
197,1,45432.34271,-263554.3525,158.749,-0.555556,5905.25,0.106716,1480,0.081645,0.305282,1411,8.88033,0
198,1,83040.44842,-263647.0594,315,-0.444444,1218.98,0.093725,2229,0.228498,0.628933,1500,33.3392,2.82979
199,1,101458.2225,-264790.4447,28.7151,-0.111111,996.569,0.125323,2201,0.255319,0.651822,1452,27.9417,0
200,1,232669.4113,-265037.6632,108.435,-0.111111,834.362,0.124195,1321,0.28533,0.654077,1002,0.732855,11.3847
201,1,58133.19024,-265130.3701,240.124,-0.555556,61.805,0.043878,1586,0.194495,0.525853,1398,12.3666,5.90197
202,1,225963.611,-265655.7093,135,0.111111,470.69,0.128644,1385,0.424442,0.365841,1016,18.9438,5.69842
203,1,69968.77322,-266675.4853,320.782,-0.333333,1401.21,0.061354,1996,0.285352,0.638321,1519,24.429,3.14129
204,0,103961.3092,-267633.4568,146.889,0.222222,957.971,0.094486,2115,0.38221,0.388205,1434,12.5245,0
205,1,54764.83895,-271032.7104,146.976,-0.333333,1895.15,0.006103,1742,0.212383,0.667482,1448,10.9225,5.7385
206,0,59709.20782,-271187.2219,205.346,0.222222,439.204,0.000557,1600,0.285553,0.303555,1486,4.86082,0
207,1,63695.60522,-271403.5381,254.002,-0.555556,3301.2,0.027231,1803,-0.005359,0.810187,1523,31.0371,0
208,0,104702.9645,-273813.9179,119.055,0.111111,1552.82,0.039244,2249,0.362154,0.513434,1489,18.4264,4.1167
209,0,45803.17037,-274339.2571,270,-0.222222,621.129,0.010296,1695,0.318431,0.227417,1460,0.926966,0
210,1,52261.75221,-275359.0332,-1,-0.555556,1648.28,0.012583,1892,0.187209,0.787072,1473,0,0
